,0,1
0,[6.67881862],
1,[5.5288299],
2,[-0.51656722],
3,[2.73689473],
4,[-4.67881827],
5,[3.53623664],
6,[5.07633667],
7,[3.87649461],
8,[-0.93564137],
9,[-5.24206866],
10,[-9.86621796],
11,[-12.76263101],
12,[-6.91409805],
13,[17.45091323],
14,[2.49968278],
15,[9.70772806],
16,[4.19743173],
17,[1.6991533],
18,[0.59508667],
19,[4.62482794],
20,[1.97435863],
21,[3.52209801],
22,[6.79211537],
23,[1.37153566],
24,[3.37798528],
25,[-0.51075344],
26,[-3.01365055],
27,[4.04397806],
28,[-0.58048493],
29,[-0.76626336],
30,[2.99258667],
31,[0.56607794],
32,[-3.96064137],
33,[-3.10540199],
34,[-2.27121796],
35,[-2.95096434],
36,[-6.52618138],
37,[-4.1049201],
38,[-0.28865055],
39,[3.52481139],
40,[13.01118173],
41,[10.0316533],
42,[3.39258667],
43,[-11.69142206],
44,[-3.12897471],
45,[-10.46456866],
46,[-8.4458013],
47,[0.18111899],
48,[1.86506862],
49,[-0.73158677],
50,[-0.74156722],
51,[7.34856139],
52,[10.90951507],
53,[4.67748664],
54,[-3.21908],
55,[-1.36308873],
56,[1.07852529],
57,[-2.61540199],
58,[-3.04913463],
59,[-0.53888101],
60,[0.10840195],-0.2437666952610016
61,[-2.67283677],-0.15552309155464172
62,[-0.81573388],-0.03984281048178673
63,[-2.63560527],0.08678688108921051
64,[5.85993173],0.21611212193965912
65,[1.6541533],0.31256526708602905
66,[-5.21283],0.3622862994670868
67,[-5.52017206],0.3895694315433502
68,[-9.76480804],0.42292606830596924
69,[-3.99040199],0.495729923248291
70,[5.3079487],0.6057938933372498
71,[7.33945233],0.7042328715324402
72,[-1.73826472],0.7381081581115723
73,[6.98341323],0.7088733315467834
74,[15.31468278],0.6067629456520081
75,[5.71106139],0.40056321024894714
76,[4.66951507],0.11303271353244781
77,[15.0354033],-0.21056360006332397
78,[10.17925333],-0.5628897547721863
79,[0.52524461],-0.9209158420562744
80,[-1.56355804],-1.2229409217834473
81,[-20.66206866],-1.4115768671035767
82,[-29.30746796],-1.3909337520599365
83,[-0.72679767],-1.0823249816894531
84,[11.11965195],-0.5660357475280762
85,[13.72466323],-0.0033129160292446613
86,[23.98884945],0.45497244596481323
87,[-7.54768861],0.6773694157600403
88,[-13.45506827],0.7145237326622009
89,[-20.39626336],0.6838831305503845
90,[-13.86449667],0.710081160068512
91,[-0.01725539],0.8476569056510925
92,[6.18810863],1.0538703203201294
93,[-2.61540199],1.2423135042190552
94,[7.80253204],1.372089147567749
95,[8.30736899],1.3941175937652588
96,[1.47673528],1.2805631160736084
97,[-3.2136701],1.0570878982543945
98,[7.30926612],0.7850858569145203
99,[8.28189473],0.48505690693855286
100,[-3.7034016],0.1638558804988861
101,[-21.5608467],-0.1267147660255432
102,[-14.79283],-0.2764989137649536
103,[-7.42933873],-0.23436295986175537
104,[-10.78605804],-0.026208078488707542
105,[-0.33290199],0.3031820058822632
106,[3.84253204],0.6666247248649597
107,[6.04653566],0.971587598323822
108,[9.48006862],1.1476415395736694
109,[9.3563299],1.1503574848175049
110,[8.51843278],0.973481297492981
111,[8.21439473],0.645817756652832
112,[-2.44256827],0.21672630310058594
113,[1.02623664],-0.21936680376529694
114,[4.40883667],-0.5937487483024597
115,[-1.21142206],-0.8792439103126526
116,[-1.69647471],-1.051622986793518
117,[-0.38706866],-1.1019343137741089
118,[4.79836537],-1.0431166887283325
119,[-6.87221434],-0.9181076884269714
120,[-7.09368138],-0.7289087176322937
121,[-11.43075344],-0.47447896003723145
122,[-3.64365055],-0.14807789027690887
123,[-7.24185527],0.21783864498138428
124,[-1.7634016],0.5946158766746521
125,[7.63706997],0.9384868741035461
126,[6.66425333],1.1809982061386108
127,[3.93316127],1.2784032821655273
128,[3.25810863],1.2292929887771606
129,[3.20584801],1.0602816343307495
130,[-0.72288463],0.8101818561553955
131,[-3.78221434],0.5332663655281067
132,[-7.36118138],0.2868107557296753
133,[-9.58075344],0.12259341031312943
134,[-7.02990055],0.07532905787229538
